Words			Original Roots		Predicted roots
चुनाव		चुनाव			चुनाव
के		का			का
परिणाम		परिणाम			परिणाम
का		का			का
असर		असर			असर
केंद्र		केंद्र			केंद्र
की		का			का
यूपीए		यूपीए			यूपीए
सरकार		सरकार			सरकार
की		का			का
स्थिरता		स्थिरता			स्थिरता
पर		पर			पर
नहीं		नहीं			नहीं
पड़ेगा		पड़			पड
।		।			।
उन्होंने		वह			वह
कहा		कह			कह
कि		कि			कि
इस		यह			यह
बार		बार			बार
राज्य		राज्य			राज्य
में		में			में
त्रिशंकु		त्रिशंकु			त्रिशंकु
विधानसभा		विधानसभा			विधानसभा
नहीं		नहीं			नहीं
होगी		हो			हो
।		।			।
बंगलौर		बंगलौर			बंगलौर
में		में			में
पत्रकारों		पत्रकार			पत्रकार
से		से			से
बातचीत		बातचीत			बातचीत
में		में			में
पासवान		पासवान			पासवान
ने		ने			ने
कहा		कह			कह
कि		कि			कि
चुनावी		चुनावी			चुनावी
लड़ाई		लड़ाई			लड़ाई
बिहार		बिहार			बिहार
तक		तक			तक
ही		ही			ही
सीमित		सीमित			सीमित
है		है			है
।		।			।
यूपीए		यूपीए			यूपीए
का		का			का
गठन		गठन			गठन
राजग		राजग			राजग
को		को			को
सत्ता		सत्ता			सत्ता
से		से			से
हटाने		हटा			हटा
के		के			का
लिए		लिए			लिए
किया		कर			कर
गया		जा			जा
था		था			था
।		।			।
उन्होंने		वह			वह
जोर		जोर			जोर
देते		दे			दे
हुए		हो			हो
कहा		कह			कह
कि		कि			कि
वे		वह			वह
चुनाव		चुनाव			चुनाव
से		से			से
पहले		पहले			पहले
या		या			या
बाद		बाद			बाद
में		में			में
किसी		कोई			कोई
भी		भी			भी
तरह		तरह			तरह
से		से			से
लालू		लालू			लालू
यादव		यादव			यादव
की		का			का
पार्टी		पार्टी			पार्टी
राजद		राजद			राजद
का		का			का
समर्थन		समर्थन			समर्थन
नहीं		नहीं			नहीं
करेंगे		कर			कर
।		।			।
पासवान		पासवान			पासवान
ने		ने			ने
कहा		कह			कह
कि		कि			कि
इस		यह			यह
बार		बार			बार
उनकी		वह			वह
पार्टी		पार्टी			पार्टी
राज्य		राज्य			राज्य
में		में			में
मुख्यमंत्री		मुख्यमंत्री			मुख्यमंत्री
पद		पद			पद
के		के			का
लिए		लिए			लिए
किसी		कोई			कोई
भी		भी			भी
दल		दल			दल
के		का			का
मुस्लिम		मुस्लिम			मुस्लिम
उम्मीदवार		उम्मीदवार			उम्मीदवार
को		को			को
स्वीकार		स्वीकार			स्वीकार
नहीं		नहीं			नहीं
करेगी		कर			कर
।		।			।
उनकी		वह			वह
पार्टी		पार्टी			पार्टी
में		में			में
काफी		काफी			काफी
संख्या		संख्या			संख्या
में		में			में
मुस्लिम		मुस्लिम			मुस्लिम
उम्मीदवारों		उम्मीदवार			उम्मीदवार
को		को			को
टिकट		टिकट			टिकट
दिए		दे			दे
जाएंगे		जा			जा
।		।			।
पासवान		पासवान			पासवान
ने		ने			ने
कहा		कह			कह
कि		कि			कि
अगर		अगर			अगर
चुनाव		चुनाव			चुनाव
में		में			में
उनके		वह			वह
गठबंधन		गठबंधन			गठबंधन
को		को			को
जीत		जीत			जीत
मिलती		मिल			मिल
है		है			है
तो		तो			तो
लोक		लोक			लोक
जनशक्ति		जनशक्ति			जनशक्ति
पार्टी		पार्टी			पार्टी
(		(			(
लोजपा		लोजपा			लोजपा
)		)			)
का		का			का
कोई		कोई			कोई
उम्मीदवार		उम्मीदवार			उम्मीदवार
मुख्यमंत्री		मुख्यमंत्री			मुख्यमंत्री
बनेगा		बन			बन
।		।			।
उन्होंने		वह			वह
दावा		दावा			दावा
करते		कर			कर
हुए		हो			हो
कहा		कह			कह
कि		कि			कि
राजद		राजद			राजद
का		का			का
खेल		खेल			खेल
समाप्त		समाप्त			समाप्त
हो		हो			हो
गया		जा			जा
है		है			है
उसे		वह			वह
राज्य		राज्य			राज्य
में		में			में
४०		४०			४०
से		से			से
ज्यादा		ज्यादा			ज्यादा
सीटें		सीट			सीट
नहीं		नहीं			नहीं
मिलेगीं		मिल			मिल
।		।			।
पासवान		पासवान			पासवान
ने		ने			ने
कहा		कह			कह
कि		कि			कि
काफी		काफी			काफी
लोग		लोग			लोग
उन		वह			वह
पर		पर			पर
आरोप		आरोप			आरोप
लगा		लगा			लगा
रहे		रह			रह
हैं		है			है
कि		कि			कि
राज्य		राज्य			राज्य
में		में			में
दूसरी		दूसरा			दूसरा
बार		बार			बार
चुनाव		चुनाव			चुनाव
के		के			का
लिए		लिए			लिए
वे		वह			वह
ही		ही			ही
जिम्मेदार		जिम्मेदार			जिम्मेदार
हैं		है			है
इस		यह			यह
पर		पर			पर
पासवान		पासवान			पासवान
ने		ने			ने
कहा		कह			कह
कि		कि			कि
चुनाव		चुनाव			चुनाव
लोगों		लोग			लोग
के		का			का
हित		हित			हित
में		में			में
है		है			है
,		COMMA			UNNNNNNNNNNNNNNNNN
नेताओं		नेता			नेता
के		का			का
हित		हित			हित
में		में			में
नहीं		नहीं			नहीं
।		।			।
उन्होंने		वह			वह
कहा		कह			कह
कि		कि			कि
लोजपा		लोजपा			लोजपा
बिहार		बिहार			बिहार
का		का			का
विकास		विकास			विकास
चाहती		चाह			चाह
है		है			है
।		।			।
राजद		राजद			राजद
के		का			का
१५		१५			१५
साल		साल			साल
के		का			का
शासन		शासन			शासन
में		में			में
बिहार		बिहार			बिहार
का		का			का
सत्यानाश		सत्यानाश			सत्यानाश
हो		हो			हो
गया		जा			जा
है		है			है
।		।			।
उन्होंने		वह			वह
कहा		कह			कह
कि		कि			कि
पासवान		पासवान			पासवान
व		व			व
लालू		लालू			लालू
के		के			का
बीच		बीच			बीच
खींचतान		खींचतान			खींचतान
व		व			व
वामपंथियों		वामपंथी			वामपंथी
के		के			का
बीच		बीच			बीच
मतभेद		मतभेद			मतभेद
से		से			से
यूपीए		यूपीए			यूपीए
कमजोर		कमजोर			कमजोर
हुआ		हो			हो
है		है			है
और		और			और
इसका		यह			यह
सीधा		सीधा			सीधा
लाभ		लाभ			लाभ
राजग		राजग			राजग
को		को			को
मिलेगा		मिल			मिल
।		।			।
नितीश		नितीश			नितीश
ने		ने			ने
कहा		कह			कह
कि		कि			कि
बिहार		बिहार			बिहार
की		का			का
जनता		जनता			जनता
विकास		विकास			विकास
चाहती		चाह			चाह
है		है			है
इसलिए		इसलिए			इसलिए
इस		यह			यह
बार		बार			बार
राज्य		राज्य			राज्य
में		में			में
त्रिशंकु		त्रिशंकु			त्रिशंकु
विधानसभा		विधानसभा			विधानसभा
नहीं		नहीं			नहीं
होगी		हो			हो
।		।			।
नितीश		नितीश			नितीश
ने		ने			ने
कहा		कह			कह
कि		कि			कि
राज्य		राज्य			राज्य
के		का			का
लोग		लोग			लोग
जान		जान			जान
गए		जा			जा
हैं		है			है
कि		कि			कि
इस		यह			यह
चुनाव		चुनाव			चुनाव
के		के			का
लिए		लिए			लिए
लालू		लालू			लालू
व		व			व
पासवान		पासवान			पासवान
जिम्मेदार		जिम्मेदार			जिम्मेदार
हैं		है			है
।		।			।
तिलहन		तिलहन			तिलहन
के		का			का
उत्पादन		उत्पादन			उत्पादन
को		को			को
लेकर		ले			ले
उद्योग		उद्योग			उद्योग
जगत		जगत			जगत
और		और			और
कृषि		कृषि			कृषि
मंत्रालय		मंत्रालय			मंत्रालय
एक		एक			एक
बार		बार			बार
फिर		फिर			फिर
अलग		अलग			अलग
-		-			-
अलग		अलग			अलग
दावे		दावा			दावा
कर		कर			कर
रहे		रह			रह
हैं		है			है
।		.			।
उद्योग		उद्योग			उद्योग
जगत		जगत			जगत
का		का			का
कहना		कह			कह
है		है			है
कि		कि			कि
इस		यह			यह
साल		साल			साल
खरीफ		खरीफ			खरीफ
सीजन		सीजन			सीजन
के		के			का
दौरान		दौरान			दौरान
तिलहन		तिलहन			तिलहन
का		का			का
उत्पादन		उत्पादन			उत्पादन
130		130			130
लाख		लाख			लाख
टन		टन			टन
होगा		हो			हो
।		.			।
जबकि		जबकि			जबकि
कृषि		कृषि			कृषि
मंत्रालय		मंत्रालय			मंत्रालय
के		के			का
मुताबिक		मुताबिक			मुताबिक
इस		यह			यह
साल		साल			साल
तिलहन		तिलहन			तिलहन
का		का			का
उत्पादन		उत्पादन			उत्पादन
145.6		145.6			1U5.U
लाख		लाख			लाख
टन		टन			टन
रहने		रह			रह
का		का			का
अनुमान		अनुमान			अनुमान
है		है			है
,		COMMA			UNNNNNNNNNNNNNNNNN
जो		जो			जो
पिछले		पिछला			पिछला
साल		साल			साल
की		का			का
तुलना		तुलना			तुलना
में		में			में
करीब		करीब			करीब
2.5		2.5			2.5
फीसदी		फीसदी			फीसदी
कम		कम			कम
है		है			है
।		.			।
लेकिन		लेकिन			लेकिन
उद्योग		उद्योग			उद्योग
का		का			का
कहना		कह			कह
है		है			है
कि		कि			कि
इस		यह			यह
साल		साल			साल
तिलहन		तिलहन			तिलहन
का		का			का
उत्पादन		उत्पादन			उत्पादन
पिछले		पिछला			पिछला
साल		साल			साल
की		का			का
तुलना		तुलना			तुलना
में		में			में
ज्यादा		ज्यादा			ज्यादा
होगा		हो			हो
।		.			।
उद्योग		उद्योग			उद्योग
जगत		जगत			जगत
और		और			और
कृषि		कृषि			कृषि
मंत्रालय		मंत्रालय			मंत्रालय
ने		ने			ने
खरीफ		खरीफ			खरीफ
सीज़न		सीजन			सीजन
के		के			का
पहले		पहले			पहले
अग्रिम		अग्रिम			अग्रिम
अनुमानों		अनुमान			अनुमान
को		को			को
जारी		जारी			जारी
किया		कर			कर
है		है			है
।		.			।
तिलहन		तिलहन			तिलहन
उद्योग		उद्योग			उद्योग
और		और			और
ट्रेड		ट्रेड			ट्रेड
की		का			का
सबसे		सबसे			सबसे
बड़ी		बडा			बड़ा
संस्था		संस्था			संस्था
सेंट्रल		सेंट्रल			सेंट्रल
ऑर्गेनाइजेशन		ऑर्गेनाइजेशन			ऑर्गेनाइजेशन
फॉर		फॉर			फॉर
ऑयल		ऑयल			ऑयल
इंडस्ट्री		इंडस्ट्री			इंडस्ट्री
एंड		एंड			एंड
ट्रेड		ट्रेड			ट्रेड
यानि		यानि			यानि
कोइट		कोइट			कोइट
का		का			का
कहना		कह			कह
है		है			है
कि		कि			कि
इस		यह			यह
साल		साल			साल
तिलहन		तिलहन			तिलहन
का		का			का
उत्पादन		उत्पादन			उत्पादन
कम		कम			कम
रहने		रह			रह
की		का			का
उम्मीद		उम्मीद			उम्मीद
की		कर			का
जा		जा			जा
रही		रह			रह
है		है			है
।		.			।
उद्योग		उद्योग			उद्योग
जगत		जगत			जगत
दावा		दावा			दावा
करता		कर			कर
है		है			है
कि		कि			कि
इस		यह			यह
खरीफ		खरीफ			खरीफ
सीज़न		सीजन			सीजन
के		के			का
दौरान		दौरान			दौरान
तिलहन		तिलहन			तिलहन
का		का			का
उत्पादन		उत्पादन			उत्पादन
पिछले		पिछला			पिछला
साल		साल			साल
की		का			का
तुलना		तुलना			तुलना
में		में			में
ज्यादा		ज्यादा			ज्यादा
होगा		हो			हो
।		.			।
उद्योग		उद्योग			उद्योग
के		के			का
मुताबिक		मुताबिक			मुताबिक
इस		यह			यह
साल		साल			साल
तिलहन		तिलहन			तिलहन
उत्पादन		उत्पादन			उत्पादन
करीब		करीब			करीब
130.4		130.4			110.U
लाख		लाख			लाख
टन		टन			टन
होगा		हो			हो
।		.			।
जो		जो			जो
पिछले		पिछला			पिछला
साल		साल			साल
के		का			का
उत्पादन		उत्पादन			उत्पादन
में		में			में
करीब		करीब			करीब
6.8		6.8			UUU
लाख		लाख			लाख
टन		टन			टन
ज्यादा		ज्यादा			ज्यादा
है		है			है
।		.			।
पिछले		पिछला			पिछला
साल		साल			साल
तिलहन		तिलहन			तिलहन
का		का			का
उत्पादन		उत्पादन			उत्पादन
123		123			123
लाख		लाख			लाख
टन		टन			टन
हुआ		हो			हो
था		था			था
।		.			।
उद्योग		उद्योग			उद्योग
का		का			का
अनुमान		अनुमान			अनुमान
है		है			है
कि		कि			कि
इस		यह			यह
साल		साल			साल
मूँगफली		मूँगफली			मूँगफली
का		का			का
उत्पादन		उत्पादन			उत्पादन
56.5		56.5			5U.5
लाख		लाख			लाख
टन		टन			टन
और		और			और
सोयाबीन		सोयाबीन			सोयाबीन
का		का			का
उत्पादन		उत्पादन			उत्पादन
53.6		53.6			53.U
लाख		लाख			लाख
टन		टन			टन
होगा		हो			हो
।		.			।
जबकि		जबकि			जबकि
पिछले		पिछला			पिछला
साल		साल			साल
मूँगफली		मूँगफली			मूँगफली
का		का			का
उत्पादन		उत्पादन			उत्पादन
44.5		44.5			U.55
और		और			और
सोयाबीन		सोयाबीन			सोयाबीन
का		का			का
उत्पादन		उत्पादन			उत्पादन
58.5		58.5			5U.5
लाख		लाख			लाख
टन		टन			टन
हुआ		हो			हो
था		था			था
।		.			।
कृषि		कृषि			कृषि
मंत्रालय		मंत्रालय			मंत्रालय
उद्योग		उद्योग			उद्योग
जगत		जगत			जगत
के		का			का
इन		यह			यह
आँकड़ों		आँकडा			आँकड़
से		से			से
इत्तेफाक		इत्तेफाक			इत्तेफाक
नहीं		नहीं			नहीं
रखता		रख			रख
है		है			है
और		और			और
उसके		वह			वह
मुताबिक		मुताबिक			मुताबिक
इस		यह			यह
साल		साल			साल
तिहलन		तिहलन			तिहलन
उत्पादन		उत्पादन			उत्पादन
में		में			में
करीब		करीब			करीब
2.5		2.5			2.5
फीसदी		फीसदी			फीसदी
की		का			का
कमी		कमी			कमी
आ		आ			आ
सकती		सक			सक
है		है			है
।		.			।
इस		यह			यह
साल		साल			साल
महाराष्ट्र		महाराष्ट्र			महाराष्ट्र
और		और			और
गुजरात		गुजरात			गुजरात
में		में			में
ज्यादा		ज्यादा			ज्यादा
बारिश		बारिश			बारिश
का		का			का
असर		असर			असर
तिलहन		तिलहन			तिलहन
उत्पादन		उत्पादन			उत्पादन
पर		पर			पर
पड़ा		पड			पड़
है		है			है
।		.			।
पिछले		पिछला			पिछला
साल		साल			साल
149.4		149.4			1UU.U
लाख		लाख			लाख
टन		टन			टन
तिलहन		तिलहन			तिलहन
का		का			का
उत्पादन		उत्पादन			उत्पादन
हुआ		हो			हो
था		था			था
।		.			।
मंत्रालय		मंत्रालय			मंत्रालय
का		का			का
कहना		कह			कह
है		है			है
कि		कि			कि
इस		यह			यह
साल		साल			साल
मूँगफली		मूँगफली			मूँगफली
का		का			का
उत्पादन		उत्पादन			उत्पादन
59.4		59.4			5U.U
लाख		लाख			लाख
टन		टन			टन
और		और			और
सोयाबीन		सोयाबीन			सोयाबीन
का		का			का
65.8		65.8			UU.U
लाख		लाख			लाख
टन		टन			टन
होने		हो			हो
की		का			का
संभावना		संभावना			संभावना
है		है			है
।		.			।
बैजोरिया		बैजोरिया			बैजोरिया
का		का			का
कहना		कह			कह
है		है			है
कि		कि			कि
इन		यह			यह
आँकड़ों		आँकडा			आँकड़
में		में			में
अंतर		अंतर			अंतर
का		का			का
असर		असर			असर
तिलहन		तिलहन			तिलहन
की		का			का
कीमतों		कीमत			कीमत
पर		पर			पर
नहीं		नहीं			नहीं
पड़ता		पड			पड़
है		है			है
।		.			।
उनका		वह			वह
कहना		कह			कह
है		है			है
कि		कि			कि
उनके		वह			वह
पास		पास			पास
ये		यह			यह
आँकड़ें		आँकड़ा			आँकड
स्थानीय		स्थानीय			स्थानीय
स्तर		स्तर			स्तर
पर		पर			पर
आते		आ			आ
हैं		है			है
जो		जो			जो
पूरी		पूरा			पूरा
तरह		तरह			तरह
से		से			से
सही		सही			सही
होते		हो			हो
हैं		है			है
।		.			।
लुधियाना		लुधियाना			लुधियाना
के		का			का
अवतार		अवतार			अवतार
सिंह		सिंह			सिंह
मक्कड़		मक्कड़			मक्कड़
बुधवार		बुधवार			बुधवार
को		को			को
सिखों		सिख			सिख
की		का			का
मिनी		मिनी			मिनी
संसद		संसद			संसद
शिरोमणि		शिरोमणि			शिरोमणि
गुरुद्वारा		गुरुद्वारा			गुरुद्वारा
प्रबंधक		प्रबंधक			प्रबंधक
कमेटी		कमेटी			कमेटी
(		(			(
एसजीपीसी		एसजीपीसी			एसजीपीसी
)		)			)
के		का			का
प्रधान		प्रधान			प्रधान
पद		पद			पद
पर		पर			पर
काबिज		काबिज			काबिज
हो		हो			हो
गए		जा			जा
।		।			।
विधानसभा		विधानसभा			विधानसभा
चुनावों		चुनाव			चुनाव
में		में			में
लुधियाना		लुधियाना			लुधियाना
पश्चिम		पश्चिम			पश्चिम
सीट		सीट			सीट
से		से			से
हरनामदास		हरनामदास			हरनामदास
जौहर		जौहर			जौहर
के		का			का
हाथों		हाथ			हाथ
पराजित		पराजित			पराजित
होने		हो			हो
के		के			का
बाद		बाद			बाद
पिछले		पिछला			पिछला
साल		साल			साल
ही		ही			ही
वह		वह			वह
पहली		पहला			पहला
बार		बार			बार
इस		यह			यह
संस्था		संस्था			संस्था
के		का			का
सदस्य		सदस्य			सदस्य
चुने		चुन			चुन
गए		जा			जा
थे		था			था
।		।			।
मास्टर		मास्टर			मास्टर
तारा		तारा			तारा
सिंह		सिंह			सिंह
के		के			का
बाद		बाद			बाद
लगभग		लगभग			लगभग
५०		५०			५०
साल		साल			साल
के		का			का
अंतराल		अंतराल			अंतराल
पर		पर			पर
किसी		कोई			कोई
शहरी		शहरी			शहरी
सिख		सिख			सिख
को		को			को
यह		यह			यह
ओहदा		ओहदा			ओहदा
मिला		मिल			मिल
है		है			है
।		।			।
पुराने		पुराना			पुराना
धुरंधरों		धुरंधर			धुरंधर
को		को			को
मात		मात			मात
देते		दे			दे
हुए		हो			हो
वह		वह			वह
एसजीपीसी		एसजीपीसी			एसजीपीसी
प्रधान		प्रधान			प्रधान
के		का			का
पद		पद			पद
पर		पर			पर
पहुंचे		पहुंच			पहुंच
हैं		है			है
।		।			।
सदस्यों		सदस्य			सदस्य
की		का			का
आम		आम			आम
बैठक		बैठक			बैठक
में		में			में
अन्य		अन्य			अन्य
पदाधिकारियों		पदाधिकारी			पदाधिकारी
और		और			और
कार्यकारिणी		कार्यकारिणी			कार्यकारिणी
सदस्यों		सदस्य			सदस्य
का		का			का
चुनाव		चुनाव			चुनाव
भी		भी			भी
हल्के		हल्का			हल्का
विरोध		विरोध			विरोध
के		के			का
बीच		बीच			बीच
आम		आम			आम
सहमति		सहमति			सहमति
से		से			से
हुआ		हो			हो
।		।			।
तेजासिंह		तेजासिंह			तेजासिंह
समुद्री		समुद्री			समुद्री
हॉल		हॉल			हॉल
स्थित		स्थित			स्थित
एसजीपीसी		एसजीपीसी			एसजीपीसी
मुख्यालय		मुख्यालय			मुख्यालय
में		में			में
आयोजित		आयोजित			आयोजित
एसजीपीसी		एसजीपीसी			एसजीपीसी
सदस्यों		सदस्य			सदस्य
की		का			का
वार्षिक		वार्षिक			वार्षिक
आम		आम			आम
बैठक		बैठक			बैठक
में		में			में
धारीवाल		धारीवाल			धारीवाल
से		से			से
एसजीपीसी		एसजीपीसी			एसजीपीसी
सदस्य		सदस्य			सदस्य
व		व			व
राज्य		राज्य			राज्य
के		का			का
पूर्व		पूर्व			पूर्व
मंत्री		मंत्री			मंत्री
सुच्चा		सुच्चा			सुच्चा
सिंह		सिंह			सिंह
लंगाह		लंगाह			लंगाह
ने		ने			ने
मक्कड़		मक्कड़			मक्कड़
को		को			को
प्रधान		प्रधान			प्रधान
बनाए		बना			बना
जाने		जा			जा
का		का			का
प्रस्ताव		प्रस्ताव			प्रस्ताव
रखा		रख			रख
,		COMMA			UNNNNNNNNNNNNNNNNN
जिसका		जो			जो
फगवाड़ा		फगवाड़ा			फगवाड़ा
के		का			का
जरनैल		जरनैल			जरननल
सिंह		सिंह			सिंह
और		और			और
कोटकपूरा		कोटकपूरा			कोटकपूरा
के		का			का
मक्खन		मक्खन			मक्खन
सिंह		सिंह			सिंह
ने		ने			ने
समर्थन		समर्थन			समर्थन
किया		कर			कर
।		।			।
वरिष्ठ		वरिष्ठ			वरिष्ठ
उपप्रधान		उपप्रधान			उपप्रधान
के		के			का
रूप		रूप			रूप
में		में			में
गुरपाल		गुरपाल			गुरपाल
सिंह		सिंह			सिंह
गोरा		गोरा			गोरा
का		का			का
स्थान		स्थान			स्थान
रघुजीत		रघुजीत			रघुजीत
सिंह		सिंह			सिंह
वार्कि		वार्कि			वार्कि
ने		ने			ने
ले		ले			ले
लिया		ले			ले
,		COMMA			UNNNNNNNNNNNNNNNNN
जबकि		जबकि			जबकि
केवल		केवल			केवल
सिंह		सिंह			सिंह
बादल		बादल			बादल
उपप्रधान		उपप्रधान			उपप्रधान
और		और			और
सुखदेव		सुखदेव			सुखदेव
सिंह		सिंह			सिंह
भौर		भौर			भौर
महासचिव		महासचिव			महासचिव
का		का			का
अपना		अपना			अपना
पद		पद			पद
बचाए		बचा			बचा
रखने		रख			रख
में		में			में
कामयाब		कामयाब			कामयाब
रहे		रह			रह
।		।			।
सूत्रों		सूत्र			सूत्र
के		के			का
अनुसार		अनुसार			अनुसार
बुधवार		बुधवार			बुधवार
की		का			का
सुबह		सुबह			सुबह
दस		दस			दस
बजे		बजे			बज
ही		ही			ही
सदस्यों		सदस्य			सदस्य
को		को			को
यह		यह			यह
पता		पता			पता
चल		चल			चल
सका		सक			सक
कि		कि			कि
पार्टी		पार्टी			पार्टी
सुप्रीमो		सुप्रीमो			सुप्रीमो
प्रकाश		प्रकाश			प्रकाश
सिंह		सिंह			सिंह
बादल		बादल			बादल
किस		कौन			कौन
व्यक्ति		व्यक्ति			व्यक्ति
के		का			का
हाथों		हाथ			हाथ
में		में			में
३००		३००			३००
करोड़		करोड			करोड
रुपये		रुपया			रुपया
से		से			से
अधिक		अधिक			अधिक
